praf,pmek,plcg,PIP2,PIP3,p44/42,pakts473,PKA,PKC,P38,pjnk
3.3105430133940246,2.653241964607215,2.2844211223663744,2.9601050959108397,4.091005660956586,2.0294631718735947,2.8903717578961645,6.028278520230698,2.8903717578961645,3.8264651170664994,3.713572066704308
3.6082115510464816,2.8622008809294686,2.5877640352277083,2.8791984572980396,2.211565694606877,2.975529566236472,3.5115454388310208,5.8664680569332965,1.4747630091074988,2.8622008809294686,4.135166556742356
4.100989104940769,3.8088822465086327,2.747270914255491,2.4159137783010487,2.6390573296152584,2.766319109226186,3.5115454388310208,6.0014148779611505,2.517696472610991,3.493472657771326,3.0204248861443626
4.30406509320417,4.428433007488037,3.1822118404966093,2.6741486494265287,0.8285518175661483,1.9213246735826988,2.5494451709255714,6.270988431858299,2.6878474937846906,3.3877743613300146,3.1822118404966093
3.5467396869528134,3.0349529867072724,1.8229350866965048,2.373043556642607,3.250374491927572,3.095577608523707,3.8522730010223722,5.723585101952381,1.7334238922150915,3.2846635654062037,4.410371107683024
2.9856819377004897,1.55814461804655,2.9231615807191558,3.139832617527748,2.4765384001174837,2.5572273113676265,3.2846635654062037,6.415096959171596,2.6878474937846906,3.914021008090819,4.074141854904581
3.8264651170664994,3.624340932976365,2.4336133554004498,4.890349128221754,2.8507065015037334,2.2679936482244267,2.9391619220655967,6.728628613084702,2.772588722239781,3.6082115510464816,2.9496883350525844
3.879499813722586,2.772588722239781,2.747270914255491,3.449987545831587,2.917770732084279,3.054001181677967,3.835141961092188,6.1463292576688975,2.0068708488450007,3.2347491740244907,3.044522437723423
4.653960350157523,4.135166556742356,2.451005098112319,3.095577608523707,3.756538102587751,2.5257286443082556,3.1986731175506815,6.100318952020064,3.407841924380824,4.127134385045092,3.269568939183719
3.095577608523707,3.1135153092103742,1.0577902941478545,5.327876168789581,3.7999735016195233,2.653241964607215,4.912654885736052,5.365976015021851,2.747270914255491,3.3214324131932926,4.624972813284271
2.856470206220483,2.856470206220483,2.740840023925201,2.8903717578961645,2.501435951739211,3.131136910560194,3.572345637857985,6.1092475827643655,3.0633909220278057,3.8264651170664994,3.2228678461377385
4.321480134805848,3.173878458937465,2.1400661634962708,2.803360380906535,3.3032169733019514,3.086486636822455,3.624340932976365,5.966146739123692,3.493472657771326,4.276666119016055,3.597312260588446
4.455509411433685,3.703768066607687,2.2925347571405443,4.188138441508461,2.5416019934645457,2.0373166153791646,2.580216829592325,6.270988431858299,2.9391619220655967,3.8088822465086327,4.77912349311153
3.632309102625542,3.407841924380824,1.791759469228055,2.3085671646715933,2.803360380906535,2.9391619220655967,2.9391619220655967,5.993961427306569,2.747270914255491,3.7471483622379123,5.0238805208462765
3.407841924380824,3.2228678461377385,2.4159137783010487,2.833213344056216,3.8628327612373745,2.2844211223663744,2.1077860146889784,6.2166061010848646,2.373043556642607,3.0007198150650303,2.187174241482718
3.9318256327243257,2.6946271807700692,2.5572273113676265,2.653241964607215,2.509599262378372,2.9496883350525844,3.3638415951183864,5.973809611869261,4.046553898385752,4.356708826689592,0.6931471805599453
3.3032169733019514,3.3214324131932926,3.104586678466073,2.4765384001174837,2.7536607123542622,2.3085671646715933,3.6609942506244004,4.499809670330265,3.713572066704308,4.197201947661808,0.883767540168595
3.703768066607687,3.6686767467964168,2.4423470353692043,4.534747721691546,3.1654750481410856,3.353406717825807,3.475067230228611,5.4116460518550396,2.8622008809294686,3.459466289786131,2.1564025828159643
3.449987545831587,3.0349529867072724,2.1400661634962708,4.897839799950911,2.8154087194227095,3.0007198150650303,3.616308761279101,5.768320995793772,3.2228678461377385,3.6428355156125294,2.9014215940827497
3.914021008090819,2.8622008809294686,2.6602595372658615,4.955827057601261,3.2846635654062037,3.4688560301359703,4.144720769547168,6.566672429803241,2.7212954278522306,3.3463891451671604,3.139832617527748
3.676300671907076,2.2925347571405443,2.509599262378372,4.463606621666305,2.9391619220655967,2.5726122302071057,3.6082115510464816,6.738152494595957,2.5649493574615367,3.380994674344636,3.086486636822455
3.484312288372662,2.9338568698359038,2.740840023925201,2.451005098112319,1.776645831418007,2.4159137783010487,3.214867803470662,5.6240175061873385,2.6946271807700692,3.380994674344636,2.617395832834079
3.7376696182833684,3.3638415951183864,0.6931471805599453,4.927253685157205,3.214867803470662,3.4404180948154366,3.9318256327243257,6.873163834212518,0.6931471805599453,4.446174454497633,1.724550719534605
4.268297869345539,4.01096295328305,2.797281334830153,3.2347491740244907,2.631888840136646,2.3896797998449792,3.3638415951183864,6.1092475827643655,3.6082115510464816,4.552823705615882,3.8979240810486444
4.268297869345539,3.765840495250065,2.9231615807191558,3.086486636822455,2.4423470353692043,4.100989104940769,4.597138014290827,7.591861714889934,3.6082115510464816,3.8522730010223722,2.9338568698359038
3.1135153092103742,0.6931471805599453,2.2278615467981093,5.204006687076795,3.7999735016195233,2.9856819377004897,3.676300671907076,6.4692503167957724,2.681021528714291,3.407841924380824,2.0844290831908747
3.6938669956249757,3.1822118404966093,2.975529566236472,3.139832617527748,2.451005098112319,2.9338568698359038,3.502549875922443,6.1463292576688975,2.4423470353692043,3.190476350346503,2.0769384114617173
4.259859000699674,3.0633909220278057,3.0349529867072724,2.9652730660692823,1.9823798288367047,2.4336133554004498,3.258096538021482,6.2166061010848646,3.1654750481410856,3.8979240810486444,4.100989104940769
